编号	问题	症状	类型号	问题类型	说明
1705	月经期伴发症状一	腰部胀痛	A	"选择,多重"	
1706	月经期伴发症状一	腰痛如折	A	"选择,多重"	
1707	月经期伴发症状一	弯腰时腰部不适	A	"选择,多重"	
1708	月经期伴发症状一	腰骶不适连及小腹	A	"选择,多重"	
1709	月经期伴发症状一	腰背两侧不适，或酸，或痛	A	"选择,多重"	
1710	月经期伴发症状一	周身乏力	A	"选择,多重"	
1711	月经期伴发症状一	腰部无力	A	"选择,多重"	
1801	月经期伴发症状二	无	A	"选择,多重"	
1802	月经期伴发症状二	头胀痛	A	"选择,多重"	
1803	月经期伴发症状二	头昏沉	A	"选择,多重"	
1804	月经期伴发症状二	前额痛	A	"选择,多重"	
1805	月经期伴发症状二	后头痛，甚则连及肩背	A	"选择,多重"	
1806	月经期伴发症状二	头两侧痛	A	"选择,多重"	
1807	月经期伴发症状二	头角掣痛	A	"选择,多重"	
1808	月经期伴发症状二	眉棱骨痛	A	"选择,多重"	
1809	月经期伴发症状二	面颊疼痛	A	"选择,多重"	
1810	月经期伴发症状二	头痛连及齿龈	A	"选择,多重"	
1811	月经期伴发症状二	头痛而空，疼痛不剧烈	A	"选择,多重"	
1812	月经期伴发症状二	头痛连及耳目	A	"选择,多重"	
1813	月经期伴发症状二	眉心连及眼眶胀痛	A	"选择,多重"	
1814	月经期伴发症状二	头顶痛	A	"选择,多重"	
1815	月经期伴发症状二	头顶痛，喜温喜按	A	"选择,多重"	
1901	月经伴发症状三	无	A	"选择,多重"	
1902	月经伴发症状三	颜面易浮肿	A	"选择,多重"	
1903	月经伴发症状三	膝盖酸痛	A	"选择,多重"	
1904	月经伴发症状三	乳腺疼痛伴有肩胛骨内侧及下缘位置不适	A	"选择,多重"	
1905	月经伴发症状三	举臂肩胛骨下侧肌肉疼	A	"选择,多重"	
1906	月经伴发症状三	胸胁不适	A	"选择,多重"	
1907	月经伴发症状三	心前区或胸腹疼痛	A	"选择,多重"	
1908	月经伴发症状三	肚脐周围胀满，按之硬	A	"选择,多重"	
1909	月经伴发症状三	腹部冷	A	"选择,多重"	
1910	月经伴发症状三	心烦心悸	A	"选择,多重"	
1911	月经伴发症状三	小腹坠胀	A	"选择,多重"	
1912	月经伴发症状三	腰骶胀痛	A	"选择,多重"	
1913	月经伴发症状三	四肢厥冷	A	"选择,多重"	
2101	带下情况	带下正常	A	"选择,多重"	
2102	带下情况	带下色黄	A	"选择,多重"	
2103	带下情况	带下色赤（包括有血丝）	A	"选择,多重"	
2104	带下情况	带下色白	A	"选择,多重"	
2105	带下情况	带下色黑	A	"选择,多重"	
2106	带下情况	带下色青	A	"选择,多重"	
2107	带下情况	带下量多	A	"选择,多重"	
2108	带下情况	带下如水	A	"选择,多重"	
2109	带下情况	带下粘稠	A	"选择,多重"	
2110	带下情况	带下味臭	A	"选择,多重"	
2111	带下情况	带下味腥	A	"选择,多重"	
2201	乳腺情况	正常	A	"选择,多重"	
2202	乳腺情况	经前乳房胀痛	A	"选择,多重"	
2203	乳腺情况	乳房内侧痛	A	"选择,多重"	
2204	乳腺情况	乳房外侧痛	A	"选择,多重"	
2205	乳腺情况	乳房刺痛	A	"选择,多重"	
2301	孕产情况	未孕未育	A	"选择,多重"	
2302	孕产情况	有流产史但未生育	A	"选择,多重"	
2303	孕产情况	有生育史	A	"选择,多重"	
2304	孕产情况	剖宫产史	A	"选择,多重"	
2305	孕产情况	宫外孕史	A	"选择,多重"	
3101	整体精神状态	正常	A	"选择,多重"	
3102	整体精神状态	精神不振	A	"选择,多重"	
3103	整体精神状态	抑郁	A	"选择,多重"	
3104	整体精神状态	烦躁	A	"选择,多重"	
3105	整体精神状态	悲伤	A	"选择,多重"	
3106	整体精神状态	忧虑	A	"选择,多重"	
3107	整体精神状态	感觉压力大	A	"选择,多重"	
3108	整体精神状态	情绪不稳定	A	"选择,多重"	
3109	整体精神状态	乏力	A	"选择,多重"	
3110	整体精神状态	健忘	A	"选择,多重"	
3111	整体精神状态	身体困重	A	"选择,多重"	
3112	整体精神状态	肢体酸困	A	"选择,多重"	
3201	面色	正常	A	"选择,多重"	
3202	面色	面色晄白	A	"选择,多重"	
3203	面色	面色无华	A	"选择,多重"	
3204	面色	面色不匀	A	"选择,多重"	
3205	面色	面色黄	A	"选择,多重"	
3206	面色	面色红赤	A	"选择,多重"	
3207	面色	颧红	A	"选择,多重"	
3208	面色	鼻头红	A	"选择,多重"	
3209	面色	目下黯	A	"选择,多重"	
3210	面色	目下青	A	"选择,多重"	
3211	面色	鼻梁青	A	"选择,多重"	
3212	面色	口周青	A	"选择,多重"	
3213	面色	面色晦暗	A	"选择,多重"	
3301	寒热	正常	A	"选择,多重"	
3302	寒热	发热	A	"选择,多重"	
3303	寒热	低热	A	"选择,多重"	
3304	寒热	潮热	A	"选择,多重"	
3305	寒热	恶寒	A	"选择,多重"	
3306	寒热	后背冷	A	"选择,多重"	
3307	寒热	半身发热	A	"选择,多重"	
3308	寒热	半身发冷	A	"选择,多重"	
3309	寒热	手足热	A	"选择,多重"	
3310	寒热	手足冷	A	"选择,多重"	
3311	寒热	手冷	A	"选择,多重"	
3312	寒热	足冷	A	"选择,多重"	
3401	饮食	正常	A	"选择,多重"	
3402	饮食	没有食欲	A	"选择,多重"	
3403	饮食	食欲亢进	A	"选择,多重"	
3404	饮食	食后腹胀	A	"选择,多重"	
3405	饮食	食后腹痛	A	"选择,多重"	
3406	饮食	食后腹泻	A	"选择,多重"	
3407	饮食	喜食冷饮	A	"选择,多重"	
3408	饮食	喜食热饮	A	"选择,多重"	
3409	饮食	不喜饮水	A	"选择,多重"	
3410	饮食	口渴	A	"选择,多重"	
3501	口味	正常	A	"选择,多重"	
3502	口味	口苦	A	"选择,多重"	
3503	口味	口干	A	"选择,多重"	
3504	口味	口涩	A	"选择,多重"	
3505	口味	口甜	A	"选择,多重"	
3506	口味	口酸	A	"选择,多重"	
3507	口味	口咸	A	"选择,多重"	
3601	出汗	正常	A	"选择,多重"	
3602	出汗	不易出汗	A	"选择,多重"	
3603	出汗	动则汗出	A	"选择,多重"	
3604	出汗	头汗出	A	"选择,多重"	
3605	出汗	睡中汗出	A	"选择,多重"	
3606	出汗	睡醒汗出	A	"选择,多重"	
3607	出汗	手汗出	A	"选择,多重"	
3608	出汗	足汗出	A	"选择,多重"	
3609	出汗	热汗	A	"选择,多重"	
3610	出汗	冷汗	A	"选择,多重"	
3611	出汗	出粘汗	A	"选择,多重"	
3701	睡眠	睡眠正常	A	"选择,多重"	
3702	睡眠	嗜睡	A	"选择,多重"	
3703	睡眠	入睡困难	A	"选择,多重"	
3704	睡眠	睡后易醒	A	"选择,多重"	
3705	睡眠	醒后难入睡	A	"选择,多重"	
3706	睡眠	睡眠轻浅（夜寐不安）	A	"选择,多重"	
3707	睡眠	多梦	A	"选择,多重"	
3708	睡眠	早醒	A	"选择,多重"	
3801	大便	正常	A	"选择,多重"	
3802	大便	大便干	A	"选择,多重"	
3803	大便	大便数日一行	A	"选择,多重"	
3804	大便	大便数日一行且无便意	A	"选择,多重"	
3805	大便	排便困难	A	"选择,多重"	
3806	大便	大便先干后软	A	"选择,多重"	
3807	大便	大便溏稀	A	"选择,多重"	
3808	大便	大便粘	A	"选择,多重"	
3809	大便	泻下如水	A	"选择,多重"	
3810	大便	大便不成形	A	"选择,多重"	
3901	小便	正常	A	"选择,多重"	
3902	小便	小便少	A	"选择,多重"	
3903	小便	小便多	A	"选择,多重"	
3904	小便	小便色黄	A	"选择,多重"	
3905	小便	小便色赤	A	"选择,多重"	
3906	小便	小便色淡	A	"选择,多重"	
3907	小便	小便涩痛	A	"选择,多重"	
3908	小便	小便急	A	"选择,多重"	
3909	小便	小便清冷	A	"选择,多重"	
3910	小便	小便灼热	A	"选择,多重"	
3911	小便	小便频	A	"选择,多重"	
4101	舌体	正常	A	"选择,多重"	
4102	舌体	舌瘦小	A	"选择,多重"	
4103	舌体	舌胖大	A	"选择,多重"	
4104	舌体	舌红赤	A	"选择,多重"	
4105	舌体	舌黯红	A	"选择,多重"	
4106	舌体	舌黯淡	A	"选择,多重"	
4107	舌体	舌黯紫	A	"选择,多重"	
4108	舌体	舌有瘀点瘀斑	A	"选择,多重"	
4109	舌体	舌边有齿痕	A	"选择,多重"	
4110	舌体	舌有裂纹	A	"选择,多重"	
4201	舌苔	正常	A	"选择,多重"	
4202	舌苔	舌苔厚	A	"选择,多重"	
4203	舌苔	舌苔腻	A	"选择,多重"	
4204	舌苔	舌苔白	A	"选择,多重"	
4205	舌苔	舌苔黄	A	"选择,多重"	
4206	舌苔	舌苔黑褐色	A	"选择,多重"	
4207	舌苔	舌苔根腻	A	"选择,多重"	
4208	舌苔	无苔	A	"选择,多重"	
4209	舌苔	剥脱苔	A	"选择,多重"	
4301	舌下	正常	A	"选择,多重"	
4302	舌下	舌下瘀络	A	"选择,多重"	
4303	舌下	舌下痰膜	A	"选择,多重"	
4401	脉象	浮脉	A	"选择,多重"	
4402	脉象	沉脉	A	"选择,多重"	
4403	脉象	缓脉	A	"选择,多重"	
4404	脉象	迟脉	A	"选择,多重"	
4405	脉象	数脉	A	"选择,多重"	
4406	脉象	弱脉	A	"选择,多重"	
4407	脉象	细脉	A	"选择,多重"	
4408	脉象	促脉	A	"选择,多重"	
4409	脉象	短脉	A	"选择,多重"	
4410	脉象	虚脉	A	"选择,多重"	
4411	脉象	实脉	A	"选择,多重"	
4412	脉象	大脉	A	"选择,多重"	
4413	脉象	洪脉	A	"选择,多重"	
4414	脉象	滑脉	A	"选择,多重"	
4415	脉象	涩脉	A	"选择,多重"	
4416	脉象	弦脉	A	"选择,多重"	
4417	脉象	紧脉	A	"选择,多重"	
4418	脉象	代脉	A	"选择,多重"	
4419	脉象	结脉	A	"选择,多重"	
4420	脉象	左手关脉独强	A	"选择,多重"	
5101	头颈部（一）	无异常	A	"选择,多重"	
5102	头颈部（一）	目赤	A	"选择,多重"	
5103	头颈部（一）	颜面易浮肿	A	"选择,多重"	
5104	头颈部（一）	牙痛	A	"选择,多重"	
5105	头颈部（一）	牙龈肿	A	"选择,多重"	
5106	头颈部（一）	牙龈出血	A	"选择,多重"	
5107	头颈部（一）	头昏沉	A	"选择,多重"	
5108	头颈部（一）	头晕	A	"选择,多重"	
5109	头颈部（一）	耳鸣或耳聋	A	"选择,多重"	
5110	头颈部（一）	耳内疖肿	A	"选择,多重"	
5111	头颈部（二）	鼻干	A	"选择,多重"	
5112	头颈部（二）	鼻衄	A	"选择,多重"	
5113	头颈部（二）	鼻塞	A	"选择,多重"	
5114	头颈部（二）	口唇色淡	A	"选择,多重"	
5115	头颈部（二）	口唇红赤	A	"选择,多重"	
5116	头颈部（二）	口唇发紫	A	"选择,多重"	
5117	头颈部（二）	口唇干裂	A	"选择,多重"	
5118	头颈部（二）	头皮疖肿	A	"选择,多重"	
5119	头颈部（二）	项背不适	A	"选择,多重"	
5120	头颈部（二）	甲状腺肿	A	"选择,多重"	
5121	头颈部（二）	脱发明显	A	"选择,多重"	
5201	胸背部（平时）	无异常	A	"选择,多重"	
5202	胸背部（平时）	胸闷	A	"选择,多重"	
5203	胸背部（平时）	胸痛	A	"选择,多重"	
5204	胸背部（平时）	吐痰涎	A	"选择,多重"	
5205	胸背部（平时）	胁肋胀痛	A	"选择,多重"	
5206	胸背部（平时）	胁肋不舒	A	"选择,多重"	
5207	胸背部（平时）	心悸	A	"选择,多重"	
5301	腰腹部（平时）	无异常	A	"选择,多重"	
5302	腰腹部（平时）	上腹胀	A	"选择,多重"	
5303	腰腹部（平时）	下腹胀	A	"选择,多重"	
5304	腰腹部（平时）	全腹胀	A	"选择,多重"	
5305	腰腹部（平时）	少腹胀	A	"选择,多重"	
5306	腰腹部（平时）	腹部下坠感	A	"选择,多重"	
5307	腰腹部（平时）	腰酸	A	"选择,多重"	
5308	腰腹部（平时）	腰冷	A	"选择,多重"	
5309	腰腹部（平时）	少腹痛	A	"选择,多重"	
5310	腰腹部（平时）	胃痛	A	"选择,多重"	
5401	阴部（平时）	无异常	A	"选择,多重"	
5402	阴部（平时）	阴部下坠感	A	"选择,多重"	
5403	阴部（平时）	外阴瘙痒	A	"选择,多重"	
5404	阴部（平时）	外阴红肿	A	"选择,多重"	
5501	下肢（平时）	无异常	A	"选择,多重"	
5502	下肢（平时）	膝关节痛	A	"选择,多重"	
5503	下肢（平时）	膝关节冷	A	"选择,多重"	
5504	下肢（平时）	下肢酸软	A	"选择,多重"	
5505	下肢（平时）	下肢浮肿	A	"选择,多重"	
5506	下肢（平时）	足踝浮肿	A	"选择,多重"	
6101	影像检查妇科	无	A	"选择,多重"	
6102	影像检查妇科	子宫肌瘤	A	"选择,多重"	
6103	影像检查妇科	卵巢囊肿	A	"选择,多重"	
6104	影像检查妇科	腺肌症	A	"选择,多重"	
6105	影像检查妇科	多囊卵巢	A	"选择,多重"	
6106	影像检查妇科	输卵管不通	A	"选择,多重"	
6107	影像检查妇科	输卵管积水	A	"选择,多重"	
6108	影像检查妇科	盆腔积液	A	"选择,多重"	
6201	影像学检查其他	无	A	"选择,多重"	
6202	影像学检查其他	颈椎病	A	"选择,多重"	
6203	影像学检查其他	腰椎间盘突出或膨出	A	"选择,多重"	
6204	影像学检查其他	腰椎椎管狭窄	A	"选择,多重"	
6205	影像学检查其他	脊柱不正	A	"选择,多重"	
6301	基础疾病	无	A	"选择,多重"	
6302	基础疾病	高血压	A	"选择,多重"	
6303	基础疾病	糖尿病	A	"选择,多重"	
6304	基础疾病	高血脂	A	"选择,多重"	
6305	基础疾病	脑供血不足	A	"选择,多重"	
6306	基础疾病	坐骨神经痛	A	"选择,多重"	
6307	基础疾病	腰椎病	A	"选择,多重"	
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
