分组号	组内优先度	问题	症状	症状编号	阈值	诊断
1	0	胸	胸闷气短	2001	1	脾胃虚弱+1
1	0	胸	心悸健忘	2002	1	脾胃虚弱+1；肝胃不和+1
1	0	胸	胸闷胸痛	2003	1	土虚木旺+2
1	0	胸	胸闷痰多	2004	1	食滞内停+3；土虚木旺+3
1	0	胁	胁肋胀	2101	1	土虚木旺+3；肝胃不和+2
1	0	胁	胁肋痛	2102	1	土虚木旺+3；肝胃不和+2
1	0	心	心烦	2201	1	肝胃不和+2；食滞内停+1
1	0	心	心悸	2202	1	脾胃虚弱+2；肝胃不和+1
1	0	饮	口渴喜冷饮	2301	1	土虚木旺+2；肝胃不和+1
1	0	饮	口渴喜热饮	2302	1	脾胃虚弱+2；土虚木旺+1；土虚木旺+1
1	0	饮	口渴但不喜饮或饮不多	2303	1	食滞内停+2；土虚木旺+1；土虚木旺+1
1	0	食	胃口不佳吃得少	2401	1	脾胃虚弱+3；肝胃不和+1
1	0	食	容易饿且能吃	2402	1	土虚木旺+3
1	0	食	有饥饿感但不想进食	2403	1	肝胃不和+3
1	0	食	口中清口水多	2404	1	肝胃不和+3；脾胃虚弱+3
1	0	食	厌油	2405	1	土虚木旺+3；肝胃不和+1
1	0	食	口腻	2406	1	食滞内停+3
1	0	食	口苦	2407	1	土虚木旺+3；肝胃不和+2
1	0	食	口咸	2408	1	脾胃虚寒+2
1	0	食	口甜	2409	1	气血亏虚+2；脾胃虚寒+1
1	0	食	口淡乏味	2410	1	脾胃虚寒+2；气血亏虚+2
1	0	食	口臭	2411	1	食滞内停+3；土虚木旺+1；肝胃不和+1
1	0	大便	大便干结	2501	1	肝胃不和+3；食滞内停+1
1	0	大便	便溏不成形	2502	1	脾胃虚弱+3；食滞内停+1
1	0	大便	溏不成形且臭秽	2503	1	食滞内停+2
1	0	大便	大便时肛门灼热	2504	1	食滞内停+1；肝胃不和+2
1	0	小便	小便黄赤（浓茶色）	2601	1	土虚木旺+2；肝胃不和+1
1	0	小便	小便短少	2602	1	肝胃不和+1
1	0	小便	小便清长	2603	1	脾胃虚弱+2
1	0	是否经常有如下这些症状	疲倦乏力	2701	1	脾胃虚弱+2；肝胃不和+1
1	0	是否经常有如下这些症状	怕冷	2702	1	脾胃虚弱+2
1	0	是否经常有如下这些症状	怕热	2703	1	土虚木旺+3；肝胃不和+2
1	0	是否经常有如下这些症状	痰多	2704	1	食滞内停+2
1	0	是否经常有如下这些症状	潮热盗汗	2705	1	肝胃不和+3
1	0	是否经常有如下这些症状	四肢浮肿	2706	1	脾胃虚弱+2
1	0	是否经常有如下这些症状	喜欢叹气	2707	1	土虚木旺+2
1	0	是否经常存在如下情绪	心烦易怒，情绪激动	2801	1	土虚木旺+3
1	0	是否经常存在如下情绪	郁郁寡欢，多愁善感	2802	1	脾胃虚弱+2
1	0	是否经常存在如下情绪	情绪低落，容易悲伤	2803	1	脾胃虚弱+3；
1	0	是否经常存在如下情绪	胆小恐惧	2804	1	脾胃虚弱+3；土虚木旺+1
1	0	睡眠情况	入睡困难	2901	1	土虚木旺+2；肝胃不和+1；
1	0	睡眠情况	睡眠浅	2902	1	土虚木旺+1；肝胃不和+1
1	0	睡眠情况	多梦	2903	1	土虚木旺+1；肝胃不和+1
1	0	睡眠情况	餐后犯困	2904	1	脾胃虚弱+1；食滞内停+1
1	0	睡眠情况	嗜睡	2905	1	脾胃虚弱+2
1	0	睡眠情况	睡觉流口水	2906	1	食滞内停+2；脾胃虚弱+1
1	0	手脚情况	手脚偏冷	3001	1	脾胃虚弱+1；土虚木旺+1
1	0	手脚情况	手脚偏热	3002	1	土虚木旺+1；肝胃不和+1
1	0	手脚情况	手脚心热烫	3003	1	食滞内停+1
1	0	是否有糖尿病病史	有	3101	1	
1	0	是否有糖尿病病史	无	3102	1	
1	0	是否有糖尿病病史	不知道	3103	1	
1	0	舌体	淡红	3201	1	脾胃虚弱+1；肝胃不和+1；土虚木旺+1
1	0	舌体	淡或淡白	3202	1	脾胃虚弱+1
1	0	舌体	红	3203	1	土虚木旺+2；肝胃不和+1
1	0	舌体	绛或紫	3204	1	土虚木旺+1
1	0	舌体	舌体湿润	3205	1	脾胃虚弱+1；食滞内停+1
1	0	舌体	舌体干燥	3206	1	肝胃不和+2；土虚木旺+1
1	0	舌体	舌体胖	3207	1	脾胃虚弱+2
1	0	舌体	舌体瘦	3208	1	土虚木旺+1；肝胃不和+2
1	0	舌体	舌体粗糙	3209	1	土虚木旺+1；肝胃不和+1；
1	0	舌体	舌体光滑细腻	3210	1	脾胃虚弱+1
1	0	舌体	舌有瘀点	3211	1	
1	0	舌体	舌底静脉怒张或曲张	3212	1	
1	0	舌体	舌底静脉瘀紫	3213	1	
1	0	舌苔	苔薄白	3301	1	脾胃虚弱+1；土虚木旺+1；肝胃不和+1
1	0	舌苔	苔白厚	3302	1	食滞内停+3；土虚木旺+1
1	0	舌苔	苔白腻	3303	1	食滞内停+3；土虚木旺+1
1	0	舌苔	苔薄黄	3304	1	土虚木旺+3；寒热错杂+3
1	0	舌苔	苔黄厚	3305	1	土虚木旺+2；食滞内停+3
1	0	舌苔	苔黄腻	3306	1	土虚木旺+2；食滞内停+3
1	0	舌苔	苔薄少	3307	1	肝胃不和+3
1	0	舌苔	地图舌	3308	1	肝胃不和+2
1	0	舌苔	镜面舌	3309	1	肝胃不和+2
1	0	脉	浮	3401	1	土虚木旺+1
1	0	脉	沉	3402	1	脾胃虚弱+1；肝胃不和+1
1	0	脉	迟	3403	1	脾胃虚弱+2；
1	0	脉	数	3404	1	土虚木旺+1；肝胃不和+1
1	0	脉	有力	3405	1	土虚木旺+1；食滞内停+2
1	0	脉	无力	3406	1	脾胃虚弱+1；肝胃不和+1
1	0	胃肠镜检查报告	浅表性胃炎	3501	1	
1	0	胃肠镜检查报告	浅表性胃炎伴糜烂	3502	1	
1	0	胃肠镜检查报告	食道炎	3503	1	
1	0	胃肠镜检查报告	贲门炎	3504	1	
1	0	胃肠镜检查报告	胃底炎	3505	1	
1	0	胃肠镜检查报告	胃窦炎	3506	1	
1	0	胃肠镜检查报告	胃体炎	3507	1	
1	0	胃肠镜检查报告	萎缩性胃炎	3508	1	
1	0	胃肠镜检查报告	胃溃疡	3509	1	
1	0	胃肠镜检查报告	十二指肠溃疡	3510	1	
1	0	胃肠镜检查报告	十二指肠球部炎	3511	1	
1	0	胃肠镜检查报告	肠息肉	3512	1	
1	0	胃肠镜检查报告	胃肠上皮化生	3513	1	
1	0	胃肠镜检查报告	慢性胆囊炎	3514	1	土虚木旺+1；肝胃不和+1
1	0	胃肠镜检查报告	胆结石	3515	1	土虚木旺+1
1	0			1203；1204；1305；1502；1503；1702；1704；1902；2004；2102；2301；2405；2407；2704；2801；2901；3208；3304；3405	0.473	土虚木旺+5
1	0			1205；1206；1304；1308；1405；1604；2002；2202；2401；2410；2502；2701；2702；2905；3202；3207；3402；3406	0.5	脾胃虚弱+5
1	0			1201；1301；1501；2406；2411；2501；2503；2601；2703；2901；2906；3003；3302；3303；3305；3306；3402；3404；3406	0.368	食滞内停+5
1	0			1204；1206；1207；1209；1701；1901；1903；2002；2102；2201；2301；2403；2404；2504；3402；3406	0.437	肝胃不和+5
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
