编号	前提	问题	症状	问题类型	显示序列号
2904		睡眠情况	餐后犯困	"选择,可空,多重"	
2905		睡眠情况	嗜睡	"选择,可空,多重"	
2906		睡眠情况	睡觉流口水	"选择,可空,多重"	
3001		手脚情况	手脚偏冷	"选择,可空"	
3002		手脚情况	手脚偏热	"选择,可空"	
3003		手脚情况	手脚心热烫	"选择,可空"	
3101		是否有糖尿病病史	有	选择	
3102		是否有糖尿病病史	无	选择	
3103		是否有糖尿病病史	不知道	选择	
3201		舌体	淡红		
3202		舌体	淡或淡白		
3203		舌体	红		
3204		舌体	绛或紫		
3205		舌体	舌体湿润		
3206		舌体	舌体干燥		
3207		舌体	舌体胖		
3208		舌体	舌体瘦		
3209		舌体	舌体粗糙		
3210		舌体	舌体光滑细腻		
3211		舌体	舌有瘀点		
3212		舌体	舌底静脉怒张或曲张		
3213		舌体	舌底静脉瘀紫		
3301		舌苔	苔薄白		
3302		舌苔	苔白厚		
3303		舌苔	苔白腻		
3304		舌苔	苔薄黄		
3305		舌苔	苔黄厚		
3306		舌苔	苔黄腻		
3307		舌苔	苔薄少		
3308		舌苔	地图舌		
3309		舌苔	镜面舌		
3401		脉	浮		
3402		脉	沉		
3403		脉	迟		
3404		脉	数		
3405		脉	有力		
3406		脉	无力		
3501		胃肠镜检查报告	浅表性胃炎	"选择,可空,多重"	
3502		胃肠镜检查报告	浅表性胃炎伴糜烂	"选择,可空,多重"	
3503		胃肠镜检查报告	食道炎	"选择,可空,多重"	
3504		胃肠镜检查报告	贲门炎	"选择,可空,多重"	
3505		胃肠镜检查报告	胃底炎	"选择,可空,多重"	
3506		胃肠镜检查报告	胃窦炎	"选择,可空,多重"	
3507		胃肠镜检查报告	胃体炎	"选择,可空,多重"	
3508		胃肠镜检查报告	萎缩性胃炎	"选择,可空,多重"	
3509		胃肠镜检查报告	胃溃疡	"选择,可空,多重"	
3510		胃肠镜检查报告	十二指肠溃疡	"选择,可空,多重"	
3511		胃肠镜检查报告	十二指肠球部炎	"选择,可空,多重"	
3512		胃肠镜检查报告	肠息肉	"选择,可空,多重"	
3513		胃肠镜检查报告	胃肠上皮化生	"选择,可空,多重"	
3514		胃肠镜检查报告	慢性胆囊炎	"选择,可空,多重"	
3515		胃肠镜检查报告	胆结石	"选择,可空,多重"	
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
