编号	问题	症候	类型	脏腑评分	证型评分	UserState
52	心	心悸	513	心+5，脾+3，胆+2	气虚+4，血虚+3，阴虚+2，阳虚+2，水气凌心+3，痰热+2	编号:52
53	腹	腹胀	513	脾+3，胃+3	气郁+3、气虚+2，脾胃不和+3 	编号:53
54	腹	腹痛时喜按	513	脾+3	气虚+3	编号:54
55	腹	腹痛时喜暖	513	脾+3	气虚+3，阳虚+3	编号:55
56	腹	腹痛时拒按	513	胃+3	脾胃不和+3，湿热+3	编号:56
57	腹	腹痛时喜冷	513	胃+3	火亢+3，脾胃不和+3，湿热+3	编号:57
58	胃肠	胃脘胀满或胀痛，嗳气泛酸	513	胃+3；	湿热+3、气郁+2，脾胃不和+3，火亢+1	编号:58
59	胃肠	胃脘烧灼感，口臭便秘	513	胃+3	火亢+3、湿热+3	编号:59
60	胃肠	胃脘刺痛，且位置固定	513	胃+3	瘀血+3	编号:60
61	胃肠	胃胀，食少便溏	513	脾+3	气虚+3，脾胃不和+2	编号:61
62	胃肠	肠鸣水声	513		水饮凌心+5	编号:62
63	腰	腰部冷痛沉重，阴雨天加重	513	心+3，肝+2	厥阴不利+2，真阳不足神失潜镇+2	编号:63
64	腰	腰部绵绵作痛，酸软无力	513	心+3，肝+2	心肾不交+3，厥阴不利+2，真阳不足神失潜镇+2	编号:64
65	腰	腰刺痛，固定不移	513		瘀血+3	编号:65
66	饮	口渴喜冷饮	513	肝+3，心+3	火亢+3，阴虚+2，湿热+3	编号:66
67	饮	口渴喜热饮	513	肝+2，心+2	厥阴不利+2，	编号:67
68	饮	口渴但不喜饮或饮不多	513	心+3，胃+1	湿热+3，水饮凌心+4	编号:68
69	食	胃口不佳吃得少	513	脾+3	气虚+3	编号:69
70	食	容易饿且能吃	513	胃+3	火亢+2，阴虚+2	编号:70
71	食	有饥饿感但不想进食	513	胃+3，肝+3	阴虚+3	编号:71
72	食	厌油	513	脾+2，胆+5，胃+2	湿热+2，痰热+4，	编号:72
73	食	口酸 	513	胃+4	湿热+3，脾胃不和+5	编号:73
74	食	口腻	513	心+3，肝+3，胆+3	湿热+3，痰热+3	编号:74
75	食	口苦	513	肝+5，心+2，胆+5	气郁+3，痰热+4，湿热+4，火亢+2	编号:75
76	食	口咸	513	心+2，肝+3	心肾不交+2，厥阴不利+3，真阳不足神失潜镇+4	编号:76
77	食	口甜	513	脾+3、胃+3	湿热+3、气虚+1	编号:77
78	食	口淡乏味	513	脾+3	"气虚+3,"	编号:78
79	食	好发口腔溃疡	513	胃+3、心+2	火亢+3	编号:79
80	大便	大便干结	513	心+3，胃+3	火亢+2、阴虚+3、血虚+2	编号:80
81	大便	便溏不成形	513	脾+5，心+3	气虚+5，阳虚+3，真阳不足神失潜镇+2	编号:81
82	大便	溏不成形伴臭秽	513	脾+3，胃+3	湿热+3，脾胃不和+3	编号:82
83	大便	大便时肛门灼热  	513	胃+5	湿热+3	编号:83
84	小便	小便黄赤	513	心+3，肝+3，小肠+3	火亢+4，湿热+4，阴虚+2，心肾不交+3	编号:84
85	小便	小便短少	513	心+3，小肠+4	水饮凌心+4，火亢+2，湿热+3，阴虚+2，心肾不交+2	编号:85
86	小便	小便清长，尿频	513	心+3，	水饮凌心+3，气虚+2，阳虚+2，真阳不足神失潜镇+2	编号:86
87	小便	小便不利，淋漓涩痛	513	小肠+5	湿热+5	编号:87
88	是否经常有如下这些症状	疲倦乏力	513	心+5，脾+4，胆+3，肝+3	气虚+5，阳虚+3，血虚+4，阴虚+3，少阳枢机不利+3	编号:88
89	是否经常有如下这些症状	怕冷	513	心+5，脾+3，肝+2	气虚+5，阳虚+3，真阳不足神失潜镇+3，血虚+1	编号:89
90	是否经常有如下这些症状	怕热	513	心+2，胃+2，肝+2	火亢+2，阴虚+2	编号:90
91	是否经常有如下这些症状	痰多	513		痰热+5	编号:91
92	是否经常有如下这些症状	恶心	513	胆+5，胃+3	痰热+5，湿热+2	编号:92
93	是否经常有如下这些症状	潮热盗汗	513	心+3，肝+3	心肾不交+3，阴虚+3，血虚+2	编号:93
94	是否经常有如下这些症状	四肢浮肿	513	心+3，脾+3	水饮凌心+4，气虚+3	编号:94
95	是否经常有如下这些症状	喜欢叹气	513	肝+5，胆+3	气郁+5	编号:95
96	是否经常有如下这些症状	梦遗	513	心+5	心肾不交+8，阴虚+3	编号:96
97	是否经常有如下这些症状	早泄	513	心+3，肝+3	心肾不交+5，阴虚+2，湿热+3，气郁+2	编号:97
98	是否经常有如下这些症状	阳痿	513	心+3，肝+3	气郁+3心肾不交+2，阳虚+2	编号:98
99	是否经常存在如下情绪	心烦易怒，情绪激动	513	肝+5，胆+5	气郁+5，痰热+3，湿热+2，火亢+2	编号:99
100	是否经常存在如下情绪	郁郁寡欢，多愁善感	513	肝+5	气郁+5，气虚+2	编号:100
101	是否经常存在如下情绪	情绪低落，容易悲伤	513	心+3	气虚+5，血虚+2	编号:101
102	是否经常存在如下情绪	胆小恐惧	513	心+3，胆+3，脾+3	气虚+5，痰热+2	编号:102
103	舌体	淡红	513			编号:103
104	舌体	淡或淡白	513		气虚+2、阳虚+1、血虚+1；火亢-3、湿热-2、阴虚-1、痰热-2	编号:104
105	舌体	红	513		火亢+2、气郁+1，湿热+2、阴虚+2、痰热+2，心肾不交+2，厥阴不利+1，脾胃不和+1；阳虚-3、气虚-2；真阳不足神失潜镇-1	编号:105
106	舌体	绛或紫	513		火亢+3、痰热+3、气郁+1，阴虚+1，瘀血+1；阳虚-3、气虚-3；	编号:106
107	舌体	舌体湿润	513		痰热+3、湿热+2，水饮凌心+3，气虚+1；阴虚-3	编号:107
108	舌体	舌体干燥	513		火亢+3、阴虚+3、血虚+2；湿热-2、痰热-1、	编号:108
109	舌体	舌体胖	513		湿热+3、气虚+2，阳虚+1；阴虚-3	编号:109
110	舌体	舌体瘦	513		阴虚+3、血虚+3；湿-3、痰-1、湿热-1、痰热-2；	编号:110
111	舌体	舌体粗糙	513		火亢+2、阴虚+3、血虚+2；湿热-3、痰热-2；	编号:111
112	舌体	舌体光滑细腻	513		水饮凌心+2、湿热+1；阴虚-3	编号:112
113	舌苔	苔薄白	513			编号:113
114	舌苔	苔白厚	513		湿热+3、痰热+3、水饮凌心+3，脾胃不和+3；阴虚-3	编号:114
115	舌苔	苔白腻	513		湿热+3、痰热+3、水饮凌心+3，脾胃不和+3；阴虚-3	编号:115
116	舌苔	苔薄黄	513		火亢+3、湿热+1，阴虚+2、痰热+1；阳虚-3	编号:116
117	舌苔	苔黄厚	513		痰热+3、湿热+3；阴虚-3、阳虚-3；	编号:117
118	舌苔	苔黄腻	513		痰热+3，湿热+3；阴虚-3、阳虚-3	编号:118
119	舌苔	苔薄少	513		阴虚+3；湿热-2、痰热-2	编号:119
120	舌苔	地图舌	513	脾+3、胃+3	阴虚+3、气虚+2；湿热-2、痰热-3；	编号:120
121	脉	浮	513	心+2	气虚+2，火亢+1，真阳不足神失潜镇+1	编号:121
122	脉	沉	513	肝+3，心+2	气郁+3，厥阴不利+3，水饮凌心+1	编号:122
123	脉	迟	513		阳虚+3，气虚+2，真阳不足神失潜镇+2	编号:123
124	脉	数	513		火亢+3，气虚+1，湿热+2，心肾不交+2，血虚+2，阴虚+2，痰热+2	编号:124
125	脉	有力	513		火亢+3，湿热+2，心肾不交+2，痰热+2，脾胃不和+2	编号:125
126	脉	无力	513		气虚+2，血虚+2，阴虚+1	编号:126
