分组号	组内优先度	问题	症状	症状编号	阈值	诊断
1	0	睡眠情况	餐后犯困	2904	1	食滞内停+2；脾胃虚弱+2
1	0	睡眠情况	嗜睡	2905	1	脾胃虚弱+1
1	0	睡眠情况	睡觉流口水	2906	1	食滞内停+2；脾胃虚弱+1
1	0	手脚情况	手脚偏冷	3001	1	脾胃虚弱+2
1	0	手脚情况	手脚偏热	3002	1	胆胃气逆+1；肝胃不和+1；食滞内停+1
1	0	手脚情况	手脚心热烫	3003	1	食滞内停+1
1	0	是否有糖尿病病史	有	3101	1	
1	0	是否有糖尿病病史	无	3102	1	
1	0	是否有糖尿病病史	不知道	3103	1	
1	0	舌体	淡红	3201	1	脾胃虚弱+1；肝胃不和+1；胆胃气逆+1；痰气交阻+1
1	0	舌体	淡或淡白	3202	1	脾胃虚弱+2；痰气交阻+1
1	0	舌体	红	3203	1	胆胃气逆+1；食滞内停+1
1	0	舌体	绛或紫	3204	1	
1	0	舌体	舌体湿润	3205	1	脾胃虚弱+1；肝胃不和+1；痰气交阻+1
1	0	舌体	舌体干燥	3206	1	胆胃气逆+1
1	0	舌体	舌体胖	3207	1	脾胃虚弱+2；痰气交阻+1
1	0	舌体	舌体瘦	3208	1	肝脾不调+1；气血亏虚+1；阴虚+2
1	0	舌体	舌体粗糙	3209	1	胆胃气逆+1
1	0	舌体	舌体光滑细腻	3210	1	痰气交阻+1；脾胃虚弱+1
1	0	舌体	舌有瘀点	3211	1	
1	0	舌体	舌底静脉怒张或曲张	3212	1	
1	0	舌体	舌底静脉瘀紫	3213	1	
1	0	舌苔	苔薄白	3301	1	脾胃虚弱+1；胆胃气逆+1
1	0	舌苔	苔白厚	3302	1	食滞内停+3
1	0	舌苔	苔白腻	3303	1	食滞内停+2；痰气交阻+1；胆胃气逆+1
1	0	舌苔	苔薄黄	3304	1	胆胃气逆+1
1	0	舌苔	苔黄厚	3305	1	食滞内停+2；痰气交阻+1；胆胃气逆+1
1	0	舌苔	苔黄腻	3306	1	食滞内停+2；痰气交阻+1；胆胃气逆+1
1	0	舌苔	苔薄少	3307	1	
1	0	舌苔	地图舌	3308	1	痰气交阻+1；脾胃虚弱+1
1	0	舌苔	镜面舌	3309	1	痰气交阻+1；脾胃虚弱+1
1	0	脉	浮	3401	1	胆胃气逆+1
1	0	脉	沉	3402	1	食滞内停+1
1	0	脉	迟	3403	1	脾胃虚弱+1；食滞内停+1
1	0	脉	数	3404	1	食滞内停+2；痰气交阻+1；胆胃气逆+1
1	0	脉	有力	3405	1	食滞内停+2；痰气交阻+1；胆胃气逆+1
1	0	脉	无力	3406	1	脾胃虚弱+2；痰气交阻+1
1	0	胃肠镜检查报告	浅表性胃炎	3501	1	
1	0	胃肠镜检查报告	浅表性胃炎伴糜烂	3502	1	
1	0	胃肠镜检查报告	食道炎	3503	1	
1	0	胃肠镜检查报告	贲门炎	3504	1	
1	0	胃肠镜检查报告	胃底炎	3505	1	
1	0	胃肠镜检查报告	胃窦炎	3506	1	
1	0	胃肠镜检查报告	胃体炎	3507	1	
1	0	胃肠镜检查报告	萎缩性胃炎	3508	1	
1	0	胃肠镜检查报告	胃溃疡	3509	1	
1	0	胃肠镜检查报告	十二指肠溃疡	3510	1	
1	0	胃肠镜检查报告	十二指肠球部炎	3511	1	
1	0	胃肠镜检查报告	肠息肉	3512	1	
1	0	胃肠镜检查报告	胃肠上皮化生	3513	1	
1	0	胃肠镜检查报告	慢性胆囊炎	3514	1	
1	0	胃肠镜检查报告	胆结石	3515	1	
1	0			1201；1205；1306；1309；1804；2001；2707；2802；2803	0.555	痰气交阻+5
1	0			1204；1304；1502；1602；2004；2201；2405；2408；2704；2801；2901；3405	0.5	胆胃气逆+5
1	0			1201；1205；1303；1403；1604；2001；2002；2404；2411；2502；2701；2702；2706；3406	0.5	脾胃虚弱+5
1	0			1202；1301；1501；2401；2407；2412；2503；2704；3003；3302；3303；3305；3306；3406	0.416	食滞内停+5
1	0			1203；1503；2402；2404；2406；2504；2902；2903；3205；3404；3405	0.454	肝胃不和+5
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
