编号	前提	问题	症状	问题类型	显示序列号
4413		脉象	洪脉	"选择,多重"	1197
4414		脉象	滑脉	"选择,多重"	1198
4415		脉象	涩脉	"选择,多重"	1199
4416		脉象	弦脉	"选择,多重"	1200
4417		脉象	紧脉	"选择,多重"	1201
4418		脉象	代脉	"选择,多重"	1202
4419		脉象	结脉	"选择,多重"	1203
4420		脉象	濡脉	"选择,多重"	1204
4421		脉象	无力	"选择,多重"	1205
4422		脉象	有力	"选择,多重"	1206
5101		头颈部	无异常	"选择,多重"	1207
5102		头颈部	头晕	"选择,多重"	1208
5103		头颈部	头胀	"选择,多重"	1209
5104		头颈部	头面易浮肿	"选择,多重"	1210
5105		头颈部	视物模糊	"选择,多重"	1211
5106		头颈部	目干涩	"选择,多重"	1212
5107		头颈部	耳鸣或耳聋	"选择,多重"	1213
5108		头颈部	牙痛	"选择,多重"	1214
5109		头颈部	牙龈肿	"选择,多重"	1215
5110		头颈部	流黄涕	"选择,多重"	1216
5111		头颈部	咽干	"选择,多重"	1217
5112		头颈部	口腔溃疡	"选择,多重"	1218
5113		头颈部	口唇干裂	"选择,多重"	1219
5201		胸部	无异常	"选择,多重"	1220
5202		胸部	心悸	"选择,多重"	1221
5203		胸部	胸闷	"选择,多重"	1222
5204		胸部	痰多	"选择,多重"	1223
5205		胸部	晨起有痰	"选择,多重"	1224
5206		胸部	胁肋胀满甚至胀痛	"选择,多重"	1225
5207		胸部	腋下胀满	"选择,多重"	1226
5208		胸部	腋下三寸部位胀满，有压痛	"选择,多重"	1227
5251		背部	无异常	"选择,多重"	1228
5207		背部	后背痛	"选择,多重"	1229
5208		背部	脊柱疼	"选择,多重"	1230
5209		背部	肩胛骨内侧不适	"选择,多重"	1231
5210		背部	肩胛骨下缘不适	"选择,多重"	1232
5301		腹部	无异常	"选择,多重"	1233
5302		腹部	小腹下坠感	"选择,多重"	1234
5303		腹部	小腹部冷	"选择,多重"	1235
5304		腹部	上腹部胀满或胀痛	"选择,多重"	1236
5305		腹部	胃肠感觉不适	"选择,多重"	1237
5306		腹部	小腹胀满（脐周为主）	"选择,多重"	1238
5307		腹部	平时易腹痛	"选择,多重"	1239
5308		腹部	腹股沟不适	"选择,多重"	1240
5309		腹部	小腹冷痛	"选择,多重"	1241
5351		腰部	腰痛	"选择,多重"	1242
5352		腰部	腰酸	"选择,多重"	1243
5353		腰部	腰痛如折	"选择,多重"	1244
5354		腰部	腰部乏力	"选择,多重"	1245
5355		腰部	腰背冷	"选择,多重"	1246
5356		腰部	腰骶疼痛甚至连及少腹	"选择,多重"	1247
5357		腰部	侧腰部肌肉疼	"选择,多重"	1248
5358		腰部	平卧时腰部肉多突出	"选择,多重"	1249
5359		腰部	弯腰后直立时腰痛	"选择,多重"	1250
5360		腰部	以上皆无	"选择,多重"	1251
5401		阴部	无异常	"选择,多重"	1252
5402		阴部	阴部下坠感	"选择,多重"	1253
5403		阴部	会阴、耻骨部位痛	"选择,多重"	1254
5404		阴部	外阴红肿	"选择,多重"	1255
5405		阴部	外阴灼热	"选择,多重"	1256
5406		阴部	外阴瘙痒	"选择,多重"	1257
5407		阴部	阴部干涩	"选择,多重"	1258
5501		四肢	无异常	"选择,多重"	1259
5502		四肢	四肢困重	"选择,多重"	1260
5503		四肢	四肢酸痛	"选择,多重"	1261
5504		四肢	四肢肿胀	"选择,多重"	1262
5505		四肢	骨节酸痛	"选择,多重"	1263
5506		四肢	手心脱皮	"选择,多重"	1264
5507		四肢	小腿胀，易肿	"选择,多重"	1265
5508		四肢	下肢酸软	"选择,多重"	1266
5509		四肢	下肢浮肿	"选择,多重"	1267
5510		四肢	膝关节冷	"选择,多重"	1268
6101		影像检查妇科	无	"选择,多重"	1269
6102		影像检查妇科	子宫肌瘤	"选择,多重"	1270
6103		影像检查妇科	卵巢囊肿	"选择,多重"	1271
6104		影像检查妇科	腺肌症	"选择,多重"	1272
6105		影像检查妇科	多囊卵巢	"选择,多重"	1273
6106		影像检查妇科	输卵管不通	"选择,多重"	1274
6107		影像检查妇科	输卵管积水	"选择,多重"	1275
6108		影像检查妇科	盆腔积液	"选择,多重"	1276
6201		影像学检查其他	无	"选择,多重"	1277
6202		影像学检查其他	颈椎病	"选择,多重"	1278
6203		影像学检查其他	腰椎间盘突出或膨出	"选择,多重"	1279
6204		影像学检查其他	腰椎椎管狭窄	"选择,多重"	1280
6205		影像学检查其他	脊柱不正	"选择,多重"	1281
6301		基础病史	无	"选择,多重"	1282
6302		基础病史	乳腺增生	"选择,多重"	1283
6303		基础病史	妇科手术史	"选择,多重"	1284
6304		基础病史	大出血史	"选择,多重"	1285
6305		基础病史	贫血	"选择,多重"	1286
6306		基础病史	情绪创伤史	"选择,多重"	1287
6307		基础病史	平素体弱多病	"选择,多重"	1288
6308		基础病史	平素过食寒凉	"选择,多重"	1289
6309		基础病史	平素易上火	"选择,多重"	1290
6310		基础病史	久病史	"选择,多重"	1291
