编号	前提	问题	症状	问题类型	显示序列号
3001		是否有以下情况（仅由医师填写）	舌有瘀点	"选择,可空"	3001
3002		是否有以下情况（仅由医师填写）	舌底静脉怒张或曲张	"选择,可空"	3002
3003		是否有以下情况（仅由医师填写）	舌底静脉瘀紫	"选择,可空"	3003
3101		舌苔（仅由医师填写）	苔薄白	"选择,可空"	3101
3102		舌苔（仅由医师填写）	苔白厚	"选择,可空"	3102
3103		舌苔（仅由医师填写）	苔白腻	"选择,可空"	3103
3104		舌苔（仅由医师填写）	苔薄黄	"选择,可空"	3104
3105		舌苔（仅由医师填写）	苔黄厚	"选择,可空"	3105
3106		舌苔（仅由医师填写）	苔黄腻	"选择,可空"	3106
3107		舌苔（仅由医师填写）	苔薄少	"选择,可空"	3107
3108		舌苔（仅由医师填写）	地图舌	"选择,可空"	3108
3109		舌苔（仅由医师填写）	镜面舌	"选择,可空"	3109
3201		脉（仅由医师填写）	浮	"选择,可空"	3201
3202		脉（仅由医师填写）	沉	"选择,可空"	3202
3203		脉（仅由医师填写）	迟	"选择,可空"	3203
3204		脉（仅由医师填写）	数	"选择,可空"	3204
3205		脉（仅由医师填写）	有力	"选择,可空"	3205
3206		脉（仅由医师填写）	无力	"选择,可空"	3206
3301		胃肠镜检查报告（仅由医师填写）	浅表性胃炎	"选择,可空,多重"	3301
3302		胃肠镜检查报告（仅由医师填写）	浅表性胃炎伴糜烂	"选择,可空,多重"	3302
3303		胃肠镜检查报告（仅由医师填写）	食道炎	"选择,可空,多重"	3303
3304		胃肠镜检查报告（仅由医师填写）	贲门炎	"选择,可空,多重"	3304
3305		胃肠镜检查报告（仅由医师填写）	胃底炎	"选择,可空,多重"	3305
3306		胃肠镜检查报告（仅由医师填写）	胃窦炎	"选择,可空,多重"	3306
3307		胃肠镜检查报告（仅由医师填写）	胃体炎	"选择,可空,多重"	3307
3308		胃肠镜检查报告（仅由医师填写）	萎缩性胃炎	"选择,可空,多重"	3308
3309		胃肠镜检查报告（仅由医师填写）	胃溃疡	"选择,可空,多重"	3309
3310		胃肠镜检查报告（仅由医师填写）	十二指肠溃疡	"选择,可空,多重"	3310
3311		胃肠镜检查报告（仅由医师填写）	十二指肠球部炎	"选择,可空,多重"	3311
3312		胃肠镜检查报告（仅由医师填写）	肠息肉	"选择,可空,多重"	3312
3313		胃肠镜检查报告（仅由医师填写）	胃肠上皮化生	"选择,可空,多重"	3313
3314		胃肠镜检查报告（仅由医师填写）	慢性胆囊炎	"选择,可空,多重"	3314
3315		胃肠镜检查报告（仅由医师填写）	胆结石	"选择,可空,多重"	3315
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
