编号	问题	症状	问题类型
1503	头痛	头侧面痛，甚至连及耳目	"选择,多重"
1504	头痛	头顶痛	"选择,多重"
1505	头痛	头痛连及齿龈	"选择,多重"
1506	头痛	头空痛	"选择,多重"
1507	头痛	脑仁疼	"选择,多重"
1508	头痛	头皮发紧	"选择,多重"
1509	头痛	头昏沉	"选择,多重"
2101	带下情况	带下正常	"选择,多重"
2102	带下情况	带下色黄	"选择,多重"
2103	带下情况	带下色赤（包括有血丝）	"选择,多重"
2104	带下情况	带下色白	"选择,多重"
2105	带下情况	带下色黑	"选择,多重"
2106	带下情况	带下色青	"选择,多重"
2107	带下情况	带下量多	"选择,多重"
2108	带下情况	带下如水	"选择,多重"
2109	带下情况	带下粘稠	"选择,多重"
2110	带下情况	带下味臭	"选择,多重"
2111	带下情况	带下味腥	"选择,多重"
3101	整体精神状态	正常	"选择,多重"
3102	整体精神状态	精神疲惫	"选择,多重"
3103	整体精神状态	情志抑郁不舒	"选择,多重"
3104	整体精神状态	烦躁易怒	"选择,多重"
3105	整体精神状态	悲伤委屈	"选择,多重"
3106	整体精神状态	思虑过多	"选择,多重"
3107	整体精神状态	情绪不稳定	"选择,多重"
3108	整体精神状态	乏力	"选择,多重"
3109	整体精神状态	健忘	"选择,多重"
3110	整体精神状态	气短	"选择,多重"
3111	整体精神状态	皮下有瘀斑	"选择,多重"
3112	整体精神状态	皮肤易过敏	"选择,多重"
3113	整体精神状态	皮肤易干痒	"选择,多重"
3114	整体精神状态	身体疼痛	"选择,多重"
3201	面色	正常	"选择,多重"
3202	面色	面色苍白	"选择,多重"
3203	面色	面色无华	"选择,多重"
3204	面色	面色黄	"选择,多重"
3205	面色	面有色斑	"选择,多重"
3206	面色	面色红赤	"选择,多重"
3207	面色	颧红	"选择,多重"
3208	面色	鼻头红	"选择,多重"
3209	面色	目下黯	"选择,多重"
3210	面色	目下青	"选择,多重"
3211	面色	鼻梁青	"选择,多重"
3212	面色	面容憔悴	"选择,多重"
3213	面色	面色晦暗	"选择,多重"
3301	寒热	正常	"选择,多重"
3302	寒热	发热	"选择,多重"
3303	寒热	潮热	"选择,多重"
3304	寒热	自觉发热	"选择,多重"
3305	寒热	恶寒	"选择,多重"
3306	寒热	后背冷	"选择,多重"
3307	寒热	半身发热	"选择,多重"
3308	寒热	半身发冷	"选择,多重"
3309	寒热	手足心热	"选择,多重"
3310	寒热	手足冷	"选择,多重"
3311	寒热	恶风	"选择,多重"
3401	饮食	正常	"选择,多重"
3402	饮食	食欲不佳	"选择,多重"
3403	饮食	食量减少	"选择,多重"
3404	饮食	食后腹胀	"选择,多重"
3405	饮食	食后腹痛	"选择,多重"
3406	饮食	食后腹泻	"选择,多重"
3407	饮食	喜食冷饮	"选择,多重"
3408	饮食	喜食热饮	"选择,多重"
3409	饮食	不喜饮水	"选择,多重"
3410	饮食	喜食辛辣	"选择,多重"
3411	饮食	恶心	"选择,多重"
3501	口味	正常	"选择,多重"
3502	口味	口苦	"选择,多重"
3503	口味	口干或口渴	"选择,多重"
3504	口味	口涩	"选择,多重"
3505	口味	口甜	"选择,多重"
3506	口味	口酸	"选择,多重"
3507	口味	口咸	"选择,多重"
3601	出汗	正常	"选择,多重"
3602	出汗	不易出汗	"选择,多重"
3603	出汗	动则汗出	"选择,多重"
3604	出汗	头汗出	"选择,多重"
3605	出汗	睡中汗出	"选择,多重"
3606	出汗	睡醒汗出	"选择,多重"
3607	出汗	手汗出	"选择,多重"
3608	出汗	胸口易出汗	"选择,多重"
3609	出汗	热汗	"选择,多重"
3610	出汗	冷汗	"选择,多重"
3611	出汗	出粘汗	"选择,多重"
3701	睡眠	睡眠正常	"选择,多重"
3702	睡眠	嗜睡	"选择,多重"
3703	睡眠	入睡困难	"选择,多重"
3704	睡眠	睡后易醒	"选择,多重"
3705	睡眠	醒后难入睡	"选择,多重"
3706	睡眠	睡眠浅质量差（夜寐不安）	"选择,多重"
3707	睡眠	多梦	"选择,多重"
3708	睡眠	早醒	"选择,多重"
3801	大便	正常	"选择,多重"
3802	大便	大便干结	"选择,多重"
3803	大便	大便数日一行	"选择,多重"
3804	大便	大便数日一行且无便意	"选择,多重"
3805	大便	排便困难	"选择,多重"
3806	大便	大便先干后软	"选择,多重"
3807	大便	大便溏稀	"选择,多重"
3808	大便	大便粘腻排不尽	"选择,多重"
3809	大便	泻下如水	"选择,多重"
3810	大便	大便不成形	"选择,多重"
3901	小便	正常	"选择,多重"
3902	小便	小便少	"选择,多重"
3903	小便	小便多	"选择,多重"
3904	小便	小便色黄	"选择,多重"
3905	小便	小便色赤	"选择,多重"
3906	小便	小便色淡	"选择,多重"
3907	小便	小便涩痛	"选择,多重"
3908	小便	小便急	"选择,多重"
3909	小便	小便清冷	"选择,多重"
3910	小便	小便灼热	"选择,多重"
3911	小便	小便频	"选择,多重"
3912	小便	起夜超过2次	"选择,多重"
4101	舌体	正常	"选择,多重"
4102	舌体	舌瘦小	"选择,多重"
4103	舌体	舌胖大	"选择,多重"
4104	舌体	舌红	"选择,多重"
4105	舌体	舌淡红	"选择,多重"
4106	舌体	舌淡白	"选择,多重"
4107	舌体	舌黯红	"选择,多重"
4108	舌体	舌有瘀点瘀斑	"选择,多重"
4109	舌体	舌边有齿痕	"选择,多重"
4110	舌体	舌有裂纹	"选择,多重"
4111	舌体	舌尖红	"选择,多重"
4201	舌苔	正常	"选择,多重"
4202	舌苔	舌苔厚	"选择,多重"
4203	舌苔	舌苔腻	"选择,多重"
4204	舌苔	舌苔白	"选择,多重"
4205	舌苔	舌苔黄	"选择,多重"
4206	舌苔	舌苔黑褐色	"选择,多重"
4207	舌苔	舌苔根腻	"选择,多重"
4208	舌苔	苔少	"选择,多重"
4209	舌苔	剥脱苔	"选择,多重"
4210	舌苔	舌苔润白	"选择,多重"
4301	舌下	正常	"选择,多重"
4302	舌下	舌下瘀络	"选择,多重"
4303	舌下	舌下痰膜	"选择,多重"
4401	脉象	浮脉	"选择,多重"
4402	脉象	沉脉	"选择,多重"
4403	脉象	缓脉	"选择,多重"
4404	脉象	迟脉	"选择,多重"
4405	脉象	数脉	"选择,多重"
4406	脉象	弱脉	"选择,多重"
4407	脉象	细脉	"选择,多重"
4408	脉象	促脉	"选择,多重"
4409	脉象	短脉	"选择,多重"
4410	脉象	虚脉	"选择,多重"
4411	脉象	实脉	"选择,多重"
4412	脉象	大脉	"选择,多重"
4413	脉象	洪脉	"选择,多重"
4414	脉象	滑脉	"选择,多重"
4415	脉象	涩脉	"选择,多重"
4416	脉象	弦脉	"选择,多重"
4417	脉象	紧脉	"选择,多重"
4418	脉象	代脉	"选择,多重"
4419	脉象	结脉	"选择,多重"
4420	脉象	濡脉	"选择,多重"
5101	头颈部（一）	无异常	"选择,多重"
5102	头颈部（一）	目赤	"选择,多重"
5103	头颈部（一）	目干涩	"选择,多重"
5104	头颈部（一）	牙痛	"选择,多重"
5105	头颈部（一）	牙龈肿	"选择,多重"
5106	头颈部（一）	流黄涕	"选择,多重"
5107	头颈部（一）	头胀	"选择,多重"
5108	头颈部（一）	头晕	"选择,多重"
5109	头颈部（一）	耳鸣或耳聋	"选择,多重"
5110	头颈部（一）	头面易浮肿	"选择,多重"
5111	头颈部（二）	咽干	"选择,多重"
5112	头颈部（二）	鼻衄	"选择,多重"
5113	头颈部（二）	鼻塞	"选择,多重"
5114	头颈部（二）	口唇色淡	"选择,多重"
5115	头颈部（二）	口唇红赤	"选择,多重"
5116	头颈部（二）	口唇发紫	"选择,多重"
5117	头颈部（二）	口唇干裂	"选择,多重"
5118	头颈部（二）	无异常	"选择,多重"
5201	胸背部	无异常	"选择,多重"
5202	胸背部	胸闷	"选择,多重"
5203	胸背部	胸痛	"选择,多重"
5204	胸背部	痰多	"选择,多重"
5205	胸背部	胁肋胀满	"选择,多重"
5206	胸背部	后背正中痛	"选择,多重"
5207	胸背部	心悸	"选择,多重"
5208	胸背部	感觉有气上冲到胸部	"选择,多重"
5209	胸背部	腋下胀满	"选择,多重"
5210	胸背部	腋下三寸部位胀满，有压痛	"选择,多重"
5301	腰腹部	无异常	"选择,多重"
5302	腰腹部	腹痛	"选择,多重"
5303	腰腹部	腹部冷	"选择,多重"
5304	腰腹部	上腹部胀满或胀痛	"选择,多重"
5305	腰腹部	胃肠感觉不适	"选择,多重"
5306	腰腹部	小腹胀满	"选择,多重"
5307	腰腹部	腰酸	"选择,多重"
5308	腰腹部	小腹空坠	"选择,多重"
5309	腰腹部	平卧时感觉肚脐周围有血管搏动	"选择,多重"
5310	腰腹部	侧腰部肌肉疼	"选择,多重"
5311	腰腹部	平卧时腰部肉多突出	"选择,多重"
5312	腰腹部	腹股沟不适	"选择,多重"
5313	腰腹部	弯腰后直立时腰痛	"选择,多重"
5401	阴部	无异常	"选择,多重"
5402	阴部	阴部下坠感	"选择,多重"
5403	阴部	会阴、耻骨部位痛	"选择,多重"
5404	阴部	外阴红肿	"选择,多重"
5405	阴部	外阴灼痛	"选择,多重"
5501	四肢	无异常	"选择,多重"
5502	四肢	骨节酸痛	"选择,多重"
5503	四肢	小腿胀	"选择,多重"
5504	四肢	下肢酸软	"选择,多重"
5505	四肢	四肢肿胀	"选择,多重"
5506	四肢	足踝浮肿	"选择,多重"
5507	四肢	手指尖麻	"选择,多重"
5508	四肢	小腿皮肤粗糙	"选择,多重"
6101	影像检查妇科	无	"选择,多重"
6102	影像检查妇科	子宫肌瘤	"选择,多重"
6103	影像检查妇科	卵巢囊肿	"选择,多重"
6104	影像检查妇科	腺肌症	"选择,多重"
6105	影像检查妇科	多囊卵巢	"选择,多重"
6106	影像检查妇科	输卵管不通	"选择,多重"
6107	影像检查妇科	输卵管积水	"选择,多重"
6108	影像检查妇科	盆腔积液	"选择,多重"
6201	影像学检查其他	无	"选择,多重"
6202	影像学检查其他	颈椎病	"选择,多重"
6203	影像学检查其他	腰椎间盘突出或膨出	"选择,多重"
6204	影像学检查其他	腰椎椎管狭窄	"选择,多重"
6205	影像学检查其他	脊柱不正	"选择,多重"
6301	基础疾病	无	"选择,多重"
6302	基础疾病	高血压	"选择,多重"
6303	基础疾病	糖尿病	"选择,多重"
6304	基础疾病	高血脂	"选择,多重"
6305	基础疾病	脑供血不足	"选择,多重"
6306	基础疾病	坐骨神经痛	"选择,多重"
6307	基础疾病	腰椎病	"选择,多重"
6308	基础疾病	自幼体弱	"选择,多重"
6309	基础疾病	手术史	"选择,多重"
6310	基础疾病	失血史	"选择,多重"
