编号	前提	问题	症状	问题类型	显示序列号
3603		出汗	动则汗出	"选择,多重"	3603
3604		出汗	头汗出	"选择,多重"	3604
3605		出汗	睡中汗出	"选择,多重"	3605
3606		出汗	睡醒汗出	"选择,多重"	3606
3607		出汗	手汗出	"选择,多重"	3607
3608		出汗	胸口易出汗	"选择,多重"	3608
3609		出汗	热汗	"选择,多重"	3609
3610		出汗	冷汗	"选择,多重"	3610
3611		出汗	出粘汗	"选择,多重"	3611
3701		睡眠	睡眠正常	"选择,多重"	3701
3702		睡眠	嗜睡	"选择,多重"	3702
3703		睡眠	入睡困难	"选择,多重"	3703
3704		睡眠	睡后易醒	"选择,多重"	3704
3705		睡眠	醒后难入睡	"选择,多重"	3705
3706		睡眠	睡眠浅质量差（夜寐不安）	"选择,多重"	3706
3707		睡眠	多梦	"选择,多重"	3707
3708		睡眠	早醒	"选择,多重"	3708
3709		睡眠	睡眠少于5小时	"选择,多重"	3709
3710		睡眠	蜷膝而卧	"选择,多重"	3710
3801		大便	正常	"选择,多重"	3801
3802		大便	大便干结	"选择,多重"	3802
3803		大便	大便数日一行	"选择,多重"	3803
3804		大便	大便数日一行且无便意	"选择,多重"	3804
3805		大便	排便无力	"选择,多重"	3805
3806		大便	大便困难	"选择,多重"	3806
3807		大便	大便溏稀	"选择,多重"	3807
3808		大便	大便粘腻排不尽	"选择,多重"	3808
3809		大便	大便排出后汗出	"选择,多重"	3809
3810		大便	大便不成形	"选择,多重"	3810
3811		大便	五更泻	"选择,多重"	3811
3901		小便	正常	"选择,多重"	3901
3902		小便	小便少	"选择,多重"	3902
3903		小便	小便多	"选择,多重"	3903
3904		小便	小便色黄	"选择,多重"	3904
3905		小便	小便色赤	"选择,多重"	3905
3906		小便	小便色淡	"选择,多重"	3906
3907		小便	小便涩痛	"选择,多重"	3907
3908		小便	小便急	"选择,多重"	3908
3909		小便	小便清冷	"选择,多重"	3909
3910		小便	小便灼热	"选择,多重"	3910
3911		小便	小便频	"选择,多重"	3911
3912		小便	起夜超过2次	"选择,多重"	3912
4101		舌体	正常	"选择,多重"	4101
4102		舌体	舌瘦小	"选择,多重"	4102
4103		舌体	舌胖大	"选择,多重"	4103
4104		舌体	舌红	"选择,多重"	4104
4105		舌体	舌淡黯	"选择,多重"	4105
4106		舌体	舌淡白	"选择,多重"	4106
4107		舌体	舌绛红	"选择,多重"	4107
4108		舌体	舌有瘀点瘀斑	"选择,多重"	4108
4109		舌体	舌边有齿痕	"选择,多重"	4109
4110		舌体	舌质紫	"选择,多重"	4110
4111		舌体	舌尖红	"选择,多重"	4111
4201		舌苔	正常	"选择,多重"	4201
4202		舌苔	舌苔厚	"选择,多重"	4202
4203		舌苔	舌苔腻	"选择,多重"	4203
4204		舌苔	舌苔白	"选择,多重"	4204
4205		舌苔	舌苔黄	"选择,多重"	4205
4206		舌苔	舌苔黑褐色	"选择,多重"	4206
4207		舌苔	舌苔根腻	"选择,多重"	4207
4208		舌苔	苔少	"选择,多重"	4208
4209		舌苔	剥脱苔	"选择,多重"	4209
4210		舌苔	舌苔润白	"选择,多重"	4210
4211		舌苔	舌苔薄白	"选择,多重"	4211
4301		舌下	正常	"选择,多重"	4301
4302		舌下	舌下瘀络	"选择,多重"	4302
4303		舌下	舌下痰膜	"选择,多重"	4303
4401		脉象	浮脉	"选择,多重"	4401
4402		脉象	沉脉	"选择,多重"	4402
4403		脉象	缓脉	"选择,多重"	4403
4404		脉象	迟脉	"选择,多重"	4404
4405		脉象	数脉	"选择,多重"	4405
4406		脉象	弱脉	"选择,多重"	4406
4407		脉象	细脉	"选择,多重"	4407
4408		脉象	促脉	"选择,多重"	4408
4409		脉象	短脉	"选择,多重"	4409
4410		脉象	虚脉	"选择,多重"	4410
4411		脉象	实脉	"选择,多重"	4411
4412		脉象	大脉	"选择,多重"	4412
4413		脉象	洪脉	"选择,多重"	4413
4414		脉象	滑脉	"选择,多重"	4414
4415		脉象	涩脉	"选择,多重"	4415
4416		脉象	弦脉	"选择,多重"	4416
4417		脉象	紧脉	"选择,多重"	4417
4418		脉象	代脉	"选择,多重"	4418
4419		脉象	结脉	"选择,多重"	4419
4420		脉象	濡脉	"选择,多重"	4420
4421		脉象	无力	"选择,多重"	4421
4422		脉象	有力	"选择,多重"	4422
5101		头颈部（一）	无异常	"选择,多重"	5101
5102		头颈部（一）	视物模糊	"选择,多重"	5102
5103		头颈部（一）	目干涩	"选择,多重"	5103
5104		头颈部（一）	牙痛	"选择,多重"	5104
5105		头颈部（一）	牙龈肿	"选择,多重"	5105
5106		头颈部（一）	流黄涕	"选择,多重"	5106
5107		头颈部（一）	头胀	"选择,多重"	5107
5108		头颈部（一）	头晕	"选择,多重"	5108
5109		头颈部（一）	耳鸣或耳聋	"选择,多重"	5109
5110		头颈部（一）	头面易浮肿	"选择,多重"	5110
5111		头颈部（二）	咽干	"选择,多重"	5111
5112		头颈部（二）	口腔溃疡	"选择,多重"	5112
5114		头颈部（二）	口唇色淡	"选择,多重"	5114
5115		头颈部（二）	口唇红赤	"选择,多重"	5115
5116		头颈部（二）	口唇发紫	"选择,多重"	5116
5117		头颈部（二）	口唇干裂	"选择,多重"	5117
5118		头颈部（二）	无异常	"选择,多重"	5118
5201		胸背部	无异常	"选择,多重"	5201
5202		胸背部	胸闷	"选择,多重"	5202
5203		胸背部	平素痰多	"选择,多重"	5203
5204		胸背部	晨起有痰	"选择,多重"	5204
5205		胸背部	胁肋胀满甚至胀痛	"选择,多重"	5205
5206		胸背部	后背痛	"选择,多重"	5206
5207		胸背部	心悸	"选择,多重"	5207
5208		胸背部	脊柱疼	"选择,多重"	5208
5209		胸背部	腋下胀满	"选择,多重"	5209
5210		胸背部	腋下三寸部位胀满，有压痛	"选择,多重"	5210
5301		腰腹部	无异常	"选择,多重"	5301
5302		腰腹部	腰部乏力	"选择,多重"	5302
5303		腰腹部	小腹部冷	"选择,多重"	5303
5304		腰腹部	上腹部胀满或胀痛	"选择,多重"	5304
5305		腰腹部	胃肠感觉不适	"选择,多重"	5305
5306		腰腹部	平时小腹胀满（脐周为主）	"选择,多重"	5306
5307		腰腹部	腰脊酸痛	"选择,多重"	5307
5308		腰腹部	小腹空坠	"选择,多重"	5308
5309		腰腹部	平时腰骶疼痛连及少腹	"选择,多重"	5309
5310		腰腹部	侧腰部肌肉疼	"选择,多重"	5310
5311		腰腹部	平卧时腰部肉多突出	"选择,多重"	5311
5312		腰腹部	腹股沟不适	"选择,多重"	5312
5313		腰腹部	弯腰后直立时腰痛	"选择,多重"	5313
5314		腰腹部	平时易腹痛	"选择,多重"	5314
5315		腰腹部	腰背冷	"选择,多重"	5315
5401		阴部	无异常	"选择,多重"	5401
5402		阴部	阴部下坠感	"选择,多重"	5402
5403		阴部	会阴、耻骨部位痛	"选择,多重"	5403
5404		阴部	外阴红肿	"选择,多重"	5404
5405		阴部	外阴灼痛	"选择,多重"	5405
5406		阴部	外阴瘙痒	"选择,多重"	5406
5501		四肢	无异常	"选择,多重"	5501
5502		四肢	骨节酸痛	"选择,多重"	5502
5503		四肢	小腿胀，易肿	"选择,多重"	5503
5504		四肢	下肢酸软	"选择,多重"	5504
5505		四肢	四肢肿胀	"选择,多重"	5505
5506		四肢	下肢浮肿	"选择,多重"	5506
5507		四肢	四肢酸痛	"选择,多重"	5507
5508		四肢	手心脱皮	"选择,多重"	5508
5509		四肢	四肢困重	"选择,多重"	5509
5510		四肢	膝关节冷	"选择,多重"	5510
6101		影像检查妇科	无	"选择,多重"	6101
6102		影像检查妇科	子宫肌瘤	"选择,多重"	6102
6103		影像检查妇科	卵巢囊肿	"选择,多重"	6103
6104		影像检查妇科	腺肌症	"选择,多重"	6104
6105		影像检查妇科	多囊卵巢	"选择,多重"	6105
6106		影像检查妇科	输卵管不通	"选择,多重"	6106
6107		影像检查妇科	输卵管积水	"选择,多重"	6107
6108		影像检查妇科	盆腔积液	"选择,多重"	6108
6201		影像学检查其他	无	"选择,多重"	6201
6202		影像学检查其他	颈椎病	"选择,多重"	6202
6203		影像学检查其他	腰椎间盘突出或膨出	"选择,多重"	6203
6204		影像学检查其他	腰椎椎管狭窄	"选择,多重"	6204
6205		影像学检查其他	脊柱不正	"选择,多重"	6205
6301		基础病史	无	"选择,多重"	6301
6302		基础病史	乳腺增生	"选择,多重"	6302
6303		基础病史	妇科手术史	"选择,多重"	6303
6304		基础病史	大出血史	"选择,多重"	6304
6305		基础病史	贫血	"选择,多重"	6305
6306		基础病史	情绪创伤史	"选择,多重"	6306
6307		基础病史	平素体弱多病	"选择,多重"	6307
6308		基础病史	平素过食寒凉	"选择,多重"	6308
6309		基础病史	平素易上火	"选择,多重"	6309
6310		基础病史	久病史	"选择,多重"	6310
